File.Name;Md5;Time;Size;Precursors.Identified;Proteins.Identified;Total.Quantity;MS1.Signal;MS2.Signal;FWHM.Scans;FWHM.RT;Median.Mass.Acc.MS1;Median.Mass.Acc.MS1.Corrected;Median.Mass.Acc.MS2;Median.Mass.Acc.MS2.Corrected;MS2.Mass.Instability;Normalisation.Instability;Median.RT.Prediction.Acc;Average.Peptide.Length;Average.Peptide.Charge;Average.Missed.Tryptic.Cleavages
p33212/Proteomics/LUMOS_2/leonardoschwarz_20231116/20231116_002_S580219_K562_incl_iRT_autoQC03dia.raw;c96b92103ed341770edbf3e09045c588;1700134808;330342586;559;0;2.49751e+10;5645552058368;3856817192960;2.292;0.129;1.34563;0.369358;3.02596;2.91014;1.7;0;0.58212;9.268;1.483;0.146
p33212/Proteomics/LUMOS_2/leonardoschwarz_20231116/20231116_003_S580219_K562_incl_iRT_autoQC03dia.raw;6fd4ef075dc561fa44b08d19e2fc7dd9;1700139008;210626618;22574;3063;3.93134e+10;290609266688;328317108224;2.422;0.151;0.564857;0.34984;4.41113;3.82081;1.2;0;0.493783;11.302;2.111;0.057
p33212/Proteomics/LUMOS_2/leonardoschwarz_20231116/20231116_004_S580219_K562_incl_iRT_autoQC03dia.raw;a7bb2e41f7dfaf57d97e3d00fc9cc1ad;1700143508;199786548;23851;3160;4.40666e+10;256361545728;299243765760;2.476;0.154;0.57004;0.33525;4.1182;3.67575;0.9;0;0.533762;11.454;2.112;0.052
p33212/Proteomics/LUMOS_2/leonardoschwarz_20231116/20231116_005_S580219_K562_incl_iRT_autoQC03dia.raw;babf0be694314042a47ebb7d9aae8262;1700148008;191333372;22647;3104;3.82018e+10;221687234560;260001824768;2.439;0.152;0.508367;0.347014;4.34677;3.5804;0.7;0;0.516002;11.561;2.115;0.05
p33212/Proteomics/LUMOS_1/roschi_20231117_K562_DIA_autoQC/20231117_002_S580219_K562_incl_iRT_1_autoQC03dia.raw;c7ac6ad1ab0bd269013fe66ff785aa5c;1700239508;392325916;59779;5020;1.68069e+11;2301991321600;1182018174976;1.872;0.114;0.238041;0.217178;2.10159;2.12319;0.5;0;0.545921;12.093;2.186;0.115
p33212/Proteomics/LUMOS_1/roschi_20231117_K562_DIA_autoQC/20231117_005_S580219_K562_incl_iRT_1_autoQC03dia.raw;3d9fee2f4bd3cab2e06ff2128b1f55f3;1700249709;301400604;48517;4508;8.43213e+10;1270562684928;606132240384;1.803;0.112;0.223444;0.158645;2.51548;2.53437;0.7;0;0.557932;11.776;2.217;0.113
p33212/Proteomics/LUMOS_1/roschi_20231117_K562_DIA_autoQC/20231117_007_S580219_K562_incl_iRT_2_autoQC03dia.raw;ab577d25ab2fa9457f05e134c984c578;1700257808;265411814;41754;4150;5.69761e+10;919152099328;425336963072;1.776;0.111;0.219181;0.153835;2.77979;2.61079;0.8;0;0.540927;11.711;2.225;0.11
p33212/Proteomics/LUMOS_1/roschi_20231117_K562_DIA_autoQC/20231117_009_S580219_K562_incl_iRT_autoQC03dia.raw;3ba193b36a32f41a94a14b512c2f3dab;1700265608;249790128;37749;3873;4.5446e+10;765078208512;349499654144;1.792;0.112;0.201986;0.150155;2.71841;2.48359;0.7;0;0.544853;11.633;2.223;0.104
p33212/Proteomics/FUSION_2/chiawei_20231121/20231121_002_S580219_K562_incl_iRT_autoQC03dia.raw;425b87ddaf784b12dc89ab811f3d0c0c;1700574908;291325440;38067;4446;6.56813e+10;308290650112;352163430400;2.093;0.139;0.34043;0.30995;2.74739;1.75578;0.3;0;0.537906;12.104;2.185;0.072
p3000/Proteomics/TIMSTOF_1/spfammatter_20231120/zip/20231120_005a_autoQC03_diaPASEF.d.zip;e149a248b80c4c43114c1329ec02e7c6;1700576114;1394060682;17916;3040;4.21533e+08;13401634097;275894423632;4.345;0.13;1.88013;1.73019;2.66872;2.58638;0;0;0.493018;11.472;2.147;0.08
p3000/Proteomics/TIMSTOF_1/spfammatter_20231120/zip/20231120_006_autoQC03_diaPASEF.d.zip;095b38ff763cbe5c88653b698091db43;1700576117;1253883820;21505;3354;4.8081e+08;11559041322;247092744480;4.14;0.124;1.83694;1.68912;2.72744;2.64587;0;0;0.506214;11.768;2.162;0.078
p33212/Proteomics/FUSION_2/chiawei_20231121/20231121_002_S580219_K562_incl_iRT_1_autoQC03dia.raw;a52681c71fd755cff40b117804b4556c;1700579408;294234708;40011;4450;6.48392e+10;320182845440;359796375552;2.02;0.135;0.338891;0.306174;2.39611;1.65352;0.4;0;0.518727;11.947;2.178;0.071
p33212/Proteomics/FUSION_2/chiawei_20231121/20231121_002_S580219_K562_incl_iRT_2_autoQC03dia.raw;84389a0eedec07d55849368b54b53a05;1700583608;292754542;39801;4495;6.47044e+10;320364707840;353467301888;2.057;0.137;0.333716;0.301462;2.75197;1.74765;0.4;0;0.513614;12.009;2.183;0.074
p33212/Proteomics/FUSION_2/chiawei_20231121/20231121_002_S580219_K562_incl_iRT_3_autoQC03dia.raw;28f6ed7a47b955354c884fb81948a510;1700587808;286797506;39500;4442;6.25946e+10;307473350656;339538640896;2.035;0.136;0.33081;0.324648;2.70444;1.73276;0.4;0;0.561975;11.959;2.178;0.075
p33448/Proteomics/LUMOS_2/analytic_20231121/20231121_C33448_007_autoQC03dia.raw;6312ba5e7a4e9db577795c9b42d0660f;1700614208;224042966;27961;3506;6.61368e+10;399578857472;417404125184;2.629;0.164;0.681623;0.370996;6.01381;3.82051;1.2;0;0.56093;12.101;2.155;0.055
